,id,Name,population,Unnamed: 3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days per 100000 population,ratio
0,CHN,China,1330141295,0,Western Pacific,120553.0,8.19,553.0,0.04,84.0,5635.0,0.38,0.0,9.063172495520486e-05
1,IND,India,1173108018,0,South-East Asia,31572344.0,2287.84,279282.0,20.24,44230.0,423217.0,30.67,0.27,0.026913415913588958
2,USA,United States,310232863,0,Americas,34564448.0,10442.35,471734.0,142.52,90660.0,607095.0,183.41,0.65,0.11141452799602343
3,IDN,Indonesia,242968342,0,South-East Asia,3372374.0,1232.94,289964.0,106.01,42553.0,92311.0,33.75,4.28,0.013879890574386024
4,BRA,Brazil,201103330,0,Americas,19797086.0,9313.67,323132.0,152.02,48013.0,553179.0,260.25,3.56,0.09844235796592726
5,PAK,Pakistan,177276594,0,Eastern Mediterranean,1020324.0,461.91,21715.0,9.83,4497.0,23209.0,10.51,0.13,0.005755548304363293
6,BGD,Bangladesh,158065841,0,South-East Asia,1240115.0,753.0,93551.0,56.8,13862.0,20467.0,12.43,0.98,0.007845559750003164
7,NGA,Nigeria,152217341,0,Africa,172821.0,83.84,2515.0,1.22,558.0,2141.0,1.04,0.01,0.0011353568447894514
8,RUS,Russia,139390205,0,Europe,6242066.0,4277.31,163544.0,112.07,23564.0,157771.0,108.11,3.75,0.04478123839476382
9,JPN,Japan,126804433,0,Western Pacific,902718.0,713.74,44919.0,35.52,10425.0,15173.0,12.0,0.05,0.007118978245815743
10,MEX,Mexico,112468855,0,Americas,2790874.0,2164.6,97379.0,75.53,19028.0,239616.0,185.85,1.87,0.02481463868374938
11,PHL,Philippines,99900177,0,Western Pacific,1572287.0,1434.82,42035.0,38.36,5734.0,27577.0,25.17,0.63,0.015738580723435557
12,VNM,Vietnam,89571130,0,Western Pacific,133405.0,137.05,55136.0,56.64,9765.0,1022.0,1.05,0.67,0.0014893749805322317
13,ETH,Ethiopia,88013491,0,Africa,279629.0,243.23,1524.0,1.33,476.0,4381.0,3.81,0.02,0.00317711519930507
14,DEU,Germany,82282988,0,Europe,3766765.0,4529.17,14173.0,17.04,2454.0,91637.0,110.18,0.17,0.04577817470605224
15,EGY,Egypt,80471869,0,Eastern Mediterranean,284128.0,277.65,222.0,0.22,0.0,16507.0,16.13,0.04,0.0035307742137814643
16,TUR,Turkey,77804122,0,Europe,5682630.0,6737.84,118727.0,140.77,22161.0,51184.0,60.69,0.5,0.07303764702852118
17,COD,"Congo, Democratic Republic of the",70916439,0,Africa,49251.0,54.99,2077.0,2.32,281.0,1023.0,1.14,0.0,0.0006944934163995459
18,IRN,Iran,67037517,0,Eastern Mediterranean,3826447.0,4555.68,202607.0,241.22,34433.0,90074.0,107.24,2.39,0.05707918746453572
19,THA,Thailand,66404688,0,South-East Asia,578375.0,828.62,110668.0,158.55,17345.0,4679.0,6.7,1.24,0.00870985193093596
20,FRA,France,64057792,0,Europe,5953274.0,9153.34,139817.0,214.97,25080.0,110746.0,170.28,0.28,0.09293598505549489
21,GBR,United Kingdom,61284806,0,Europe,5801565.0,8546.04,199240.0,293.49,30633.0,129515.0,190.78,0.79,0.09466563376246961
22,ITA,Italy,58090681,0,Europe,4336906.0,7271.63,34513.0,57.87,6167.0,128029.0,214.66,0.18,0.07465751692599369
23,MMR,Burma,53414374,0,South-East Asia,294460.0,541.19,35590.0,65.41,5127.0,8942.0,16.43,4.56,0.0055127483100335505
24,ZAF,South Africa,49109107,0,Africa,2422151.0,4083.97,79821.0,134.59,13626.0,71431.0,120.44,4.73,0.04932182945212178
25,KOR,"Korea, South",48636068,0,Western Pacific,196806.0,383.87,11073.0,21.6,1710.0,2089.0,4.07,0.04,0.004046503101360907
26,UKR,Ukraine,45415596,0,Europe,2251869.0,5149.04,4450.0,10.18,962.0,52930.0,121.03,0.27,0.04958360559663249
27,COL,Colombia,44205293,0,Americas,4757139.0,9349.19,77145.0,151.61,9364.0,119801.0,235.44,4.56,0.1076146922043928
28,SDN,Sudan,41980182,0,Eastern Mediterranean,37138.0,84.69,0.0,0.0,0.0,2776.0,6.33,0.0,0.0008846555262671324
29,TZA,Tanzania,41892895,0,Africa,1017.0,1.7,408.0,0.68,0.0,21.0,0.04,0.0,2.427619289619397e-05
30,ARG,Argentina,41343201,0,Americas,4891810.0,10823.6,92959.0,205.68,15883.0,104822.0,231.93,4.43,0.11832199446772397
31,ESP,Spain,40548753,0,Europe,4422291.0,9343.01,148549.0,313.84,13696.0,81442.0,172.06,0.4,0.1090610850597551
32,KEN,Kenya,40046566,0,Africa,201009.0,373.82,5898.0,10.97,1068.0,3910.0,7.27,0.16,0.005019381686809301
33,POL,Poland,38463689,0,Europe,2882786.0,7594.65,838.0,2.21,156.0,75259.0,198.27,0.06,0.07494824534380985
34,DZA,Algeria,34586184,0,Africa,168668.0,384.64,10455.0,23.84,1537.0,4189.0,9.55,0.41,0.004876745003149234
35,CAN,Canada,33759742,0,Americas,1428683.0,3785.38,3968.0,10.51,766.0,26570.0,70.4,0.15,0.042319132652139345
36,UGA,Uganda,33398682,0,Africa,93282.0,203.94,1927.0,4.21,160.0,2632.0,5.75,0.33,0.002792984465674424
37,MAR,Morocco,31627428,0,Eastern Mediterranean,597876.0,1619.8,30118.0,81.6,0.0,9665.0,26.18,0.4,0.018903718633080123
38,PER,Peru,29907003,0,Americas,2107873.0,6392.95,10062.0,30.52,1502.0,196138.0,594.86,2.15,0.07048091712833947
39,IRQ,Iraq,29671605,0,Eastern Mediterranean,1603787.0,3987.29,76844.0,191.05,13259.0,18533.0,46.08,1.07,0.054051238549448204
40,SAU,Saudi Arabia,29207277,0,Eastern Mediterranean,523397.0,1503.42,8951.0,25.71,1289.0,8212.0,23.59,0.24,0.017920088887437197
41,AFG,Afghanistan,29121286,0,Eastern Mediterranean,146523.0,376.39,3084.0,7.92,527.0,6677.0,17.15,0.82,0.005031474228164237
42,NPL,Nepal,28951852,0,South-East Asia,693109.0,2378.81,16401.0,56.29,2467.0,9834.0,33.75,0.53,0.023940057444338966
43,UZB,Uzbekistan,27865738,0,Europe,128403.0,383.65,5617.0,16.78,897.0,866.0,2.59,0.14,0.004607916718372935
44,VEN,Venezuela,27223228,0,Americas,302988.0,1065.51,7242.0,25.47,1009.0,3542.0,12.46,0.41,0.011129760218002068
45,MYS,Malaysia,26160256,0,Western Pacific,1078646.0,3332.65,113728.0,351.38,17170.0,8725.0,26.96,3.56,0.04123224176399497
46,GHA,Ghana,24339838,0,Africa,103019.0,331.54,2769.0,8.91,0.0,823.0,2.65,0.01,0.004232526116237914
47,YEM,Yemen,23495361,0,Eastern Mediterranean,7042.0,23.61,41.0,0.14,15.0,1374.0,4.61,0.01,0.000299718740222804
48,TWN,Taiwan,23024956,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
